sku,cantidad_contada
PROD-000001,30
PROD-000002,30
PROD-000003,100
PROD-000004,4
PROD-000005,1
PROD-000006,6
PROD-000007,2
PROD-000008,4
PROD-000009,7
PROD-000010,7
PROD-000011,3
PROD-000012,3
PROD-000013,4
PROD-000014,6
PROD-000015,2
PROD-000016,1
PROD-000017,4
PROD-000018,3
PROD-000019,0
PROD-000020,3
PROD-000022,12
PROD-000023,12
PROD-000024,12
PROD-000025,12
PROD-000036,0
PROD-000037,12
PROD-000038,12
PROD-000039,15
PROD-000040,4
PROD-000044,0
PROD-000046,0
PROD-000047,0
PROD-000048,0
PROD-000062,0
PROD-000065,2
PROD-000066,0
PROD-000067,0
PROD-000068,0
PROD-000070,0
PROD-000071,7
PROD-000072,4
PROD-000078,0
