"empresa","modo","almacen","sku","producto","cantidad","costo_unitario","valor_faltante","level_id"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000069","Canaleta Cajon Roble","-1.0000","700.00","700.00","35f9eb32-6dc2-47d9-b810-12f1633b3c7a"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000060","Closet Blanco -EN FACIA","-42.0000","350.00","14700.00","bbdfc71b-0794-4db1-bd39-0132cf866bd8"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000064","Cortina de Baño Alta","-1.0000","8000.00","8000.00","39d56e05-19ca-4875-89ba-a359aba51416"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000057","Cuadro para Meseta Blanca","-40.0000","400.00","16000.00","c3eeb29f-8a8b-40b3-bb00-933aeae4d721"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000058","Despenda Blanca -Solo Frente","-33.0000","400.00","13200.00","36800c7d-7cf6-4d45-9cd1-b5eccf76883d"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000039","Dintel Roble","-3.0000","219.97","659.91","1a2a016c-69e9-4980-85ea-70574552a165"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000044","Dintel Roble Especial","-78.0000","434.32","33876.96","f72e69e4-0af6-4e85-91d9-3fc57a289f27"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000056","Gabinetes Blanco","-16.0000","900.00","14400.00","13f53dea-cf96-463e-91fb-8633ee58f09f"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000061","Gaveta ","-1.0000","1700.00","1700.00","a967d59e-eba0-40d8-a83f-f81cb068d68f"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000040","Jamba Roble","-11.0000","1597.46","17572.06","1514ad42-39cd-4632-ab98-295e0173c8d0"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000046","Marco Bisagra Roble Especial","-3.0000","696.01","2088.03","c6ab9c9c-5368-48d5-9160-28f348618bf7"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000001","Marco Blanco de Bisagra","-91.0000","436.33","39706.03","871bccf7-d472-4203-ad65-df9fb518ee17"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000002","Marco Blanco de Llavin","-117.0000","254.82","29813.94","cb410568-01ac-4521-9cce-3c5d428ca39f"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000024","Marco Blanco Redicido  Llavin","-52.0000","254.82","13250.64","76eb1cf1-341a-4bdd-91cf-98ad7c4173f4"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000047","Marco Llavin Roble Especial","-3.0000","478.85","1436.55","1b512299-6b7b-46d6-b186-36945cc4a420"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000005","Puerta Blanca 100*200","-11.0000","2657.02","29227.22","1fc75c19-e8ef-4254-853c-b911c42bf510"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000004","Puerta Blanca 100*210","-34.0000","2657.02","90338.68","92568858-6bdf-4bc4-9d42-f9742e6bedba"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000020","Puerta Blanca 60*210","-7.0000","2657.02","18599.14","4775424e-5f7a-4f23-a153-69ce668480a7"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000016","Puerta Blanca 70*210","-13.0000","2657.02","34541.26","3bbb0719-a09d-4065-8f75-62e207fb5ee1"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000015","Puerta Blanca 75*200","-7.0000","2657.02","18599.14","4cef9210-9686-4f3c-8428-f76c243362ea"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000012","Puerta Blanca 80*210","-10.0000","2657.02","26570.20","6b702b53-65ac-45b2-85ea-aa7b938a55eb"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000010","Puerta Blanca 85*210","-32.0000","2657.02","85024.64","5ccdb93e-3e7a-437c-985d-a17b062f0548"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000009","Puerta Blanca 90*200","-6.0000","2657.02","15942.12","2f0c1163-07fc-4cc4-b5e8-07207ab0f388"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000008","Puerta Blanca 90*210","-28.0000","2657.02","74396.56","a04cc08a-cab4-4edc-943c-fbd7d0f78ec8"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000007","Puerta Blanca 95*200","-2.0000","2657.02","5314.04","81f81602-60e5-4005-8f76-1f230d2c4a35"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000006","Puerta Blanca 95*210","-23.0000","2657.02","61111.46","0f2cd027-7ca0-4e44-bed0-d31e68b64f40"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000062","Puerta Blanca AT","-1.0000","3464.76","3464.76","dd2973f5-252c-4232-b580-e2c456694787"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000078","Puerta Color Roble","-1.0000","3349.37","3349.37","28b1632c-ecbe-41f8-a2ad-2112bae5c141"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000036","Puerta Roble 100*210","-7.0000","3349.37","23445.59","0b386dd9-be88-429e-949e-608521c10ebb"
